episode,theta_rms,angular_velocity,tracking_err_mean
0,0.02088864096857803,0.009320569267380265,0.007395943260138389
1,0.01898087361033312,0.006773143389025673,0.005966696221905755
2,0.019209405089785466,0.004729501464663282,0.005949792534897009
3,0.01642945224367966,0.006431743868320581,0.0051202406648500395
4,0.014165063087841288,0.00447679486124588,0.004184188493250291
5,0.01972649214421,0.007319864358179554,0.005958277547154766
6,0.03009358142525285,0.011801057483360659,0.009911921231917656
7,0.03216867012786623,0.013225523085861229,0.009423084003179039
8,0.03290409000589529,0.015177259797668683,0.010126602716367757
9,0.02442189167195932,0.009900033353408583,0.007945928424524922
10,0.02048754662322135,0.00709016443997076,0.006192366129199024
11,0.021313054543436443,0.008283652894976233,0.006386703797809115
12,0.03661577714741719,0.011129436194514718,0.009763545982642197
13,0.0352670749111905,0.014964680778549271,0.011031032595244622
14,0.03843824039818125,0.014507789715887516,0.011044379609021791
15,0.036376320953695425,0.014143717701543412,0.011076895978874866
16,0.029525724479676094,0.01367782135498962,0.009831282645015413
17,0.04727143306533039,0.012204086385520636,0.012189104274725065
18,0.03073241639570998,0.008991567945282962,0.008446893617624612
19,0.06561971684352215,0.017009845221553136,0.01836948533477384
20,0.06521794315909828,0.015463514809912014,0.01861267829027302
21,0.05280702045945603,0.02208876879730459,0.016357626034452108
22,0.06026220070569872,0.01720764402943242,0.01854702794790276
23,0.07841157793737409,0.032644422560031694,0.02563610708597023
24,0.08541455722267083,0.029934080975941996,0.028253608094883035
25,0.11222248329853898,0.03896086761909842,0.03531577497414468
26,0.06971913774320052,0.02120252506648792,0.01958382534346316
27,0.06953515587441984,0.025577124511716155,0.023686842877888754
28,0.08868196394359797,0.030772058026067525,0.024955628023646034
29,0.1138491897341141,0.03006452139157048,0.03240701882430816
30,0.17276414118719094,0.05604094250688671,0.053111949542277326
31,0.11578997963766893,0.037868335195248445,0.03257034389567138
32,0.1986192620697447,0.09285854480282399,0.06598172095174751
33,0.0947549694805528,0.03835395630508045,0.029092269149414197
34,0.09331759331607503,0.030033802369769276,0.028469186224114013
35,0.1534569557963242,0.0791041951755929,0.057249099373161756
36,0.15459998612091527,0.056639110835319764,0.04683271586590483
37,0.2027345481872522,0.06402380190831079,0.06493073450134818
38,0.24087126746072515,0.08251120114818548,0.07501163253385469
39,0.2504389103281262,0.08743610671943096,0.08071985867797295
40,0.25335080332454296,0.09652751996296152,0.08199187284320358
41,0.23489930473712706,0.052856549765574086,0.071369467790243
42,0.24790515254317316,0.058380832207136864,0.07499010362186379
43,0.23870594320039507,0.09199470420381896,0.07673218116119063
44,0.3176828867486849,0.05831151155673072,0.09912333675519998
45,0.23603339623707786,0.07675096427782746,0.07345016122453463
46,0.26920632126122623,0.11020408226108276,0.09176705465647267
47,0.32010803750879396,0.10382848499713339,0.10943254019148245
48,0.2808215657314149,0.1159467362284044,0.09954998112693572
49,0.24896118271855153,0.05171300149049563,0.07277764228623249
50,0.3237571562522149,0.060860234935568004,0.10481023739164985
51,0.2941909994819015,0.09709459140270528,0.09649810454383867
52,0.24595480199839026,0.06406989639149577,0.07499975798996385
53,0.28824342735965247,0.0878520118901245,0.09315333960900808
54,0.22197390605520095,0.05383628964100913,0.0627958116555263
55,0.23849288283647913,0.11174679582607028,0.08428621210005839
56,0.2993851761493117,0.06740160871160261,0.09317326042658251
57,0.25499949909015523,0.1251073697998282,0.0895545730765555
58,0.2893535135013202,0.09041633416947363,0.09428886935567836
59,0.3312634946160783,0.05867900600604812,0.10429878215844514
60,0.2934060294172963,0.1091391650362038,0.10198435067575513
61,0.24051779755098898,0.11105756702466256,0.08017038643841927
62,0.2535100700941916,0.08729933861013929,0.08081758557354134
63,0.2345702174170764,0.0744948389478399,0.06692225316205644
64,0.31828933053966846,0.10894836272427585,0.11028621730380411
65,0.2745823805563326,0.10584080247965733,0.09155645084992195
